academic underachievement,acculturation multicultural issues,addiction,adhd,adjustment coping and illness,adoption,alcohol abuse,alzheimers,anger management,anxiety,aspergers syndrome,attachment therapy early intervention,autism,bachelor amp husband challenges,behavioral issues,bipolar disorder,bisexual,borderline personality,career counseling,career transition,child or adolescent,chronic impulsivity,chronic pain,chronic relapse,co dependency group therapy,co dependency retirement transitio,codependency,coping skills,couple and family therapy,depression,developmental disorders,dissociative disorders,divorce,domestic abuse,domestic violence,drug abuse,dual diagnosis,early childhood trauma,eating disorders,elderly persons disorders,emdr,emotional disturbance,executive coaching,executive coaching couples counseling,family conflict,forgiveness,forgiveness practice,gay,grief,impulse control disorders,infertility,infidelity,internet addiction,istdp,launching young adults into adult,learning disabilities,lesbian,life coaching,life transitions,marital and premarital,maximize medical treatmt conditions,medication management,mens issues,mindfulness,mood disorders,obesity,obsessive compulsive ocd,occupational issues,oppositional defiance,panic disorder and phobias,parenting,peer relationships,personality disorders,post partum depression,postpartum adjustment,psychosis,relational psychoanalysis,relationship issues,self esteem,sex therapy,sexual abuse,sexual addiction,singleness issues in dating,sleep depression intense emotions,sleep or insomnia,spirituality,substance abuse,suicidal ideation,teen violence,testing and evaluation,trauma and ptsd,trauma recovery emdr cognitive beh,traumatic brain injury,weight loss,women in transition,womens health care,womens issues,work health and relationship stres,work stress
accordingli,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
account,5,9,7,6,0,8,2,2,6,1,11,7,10,16,4,5,8,12,3,6,20,18,1,4,1,11,6,0,15,12,5,18,8,13,8,6,7,1,2,2,5,0,22,2,2,2,1,14,13,10,0,31,13,8,0,0,9,2,0,3,4,2,3,8,4,0,1,5,6,0,14,6,8,5,2,7,15,0,6,5,11,5,13,1,0,5,20,5,4,4,0,7,9,5,0,11,3,9,6
accredit,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,2,0,0,0,2,9,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6,0,1,0,0,1,0,0,0,0
accur,3,0,0,4,2,0,0,0,2,0,5,3,1,0,1,1,0,3,0,0,0,4,0,0,0,0,0,0,0,3,5,5,0,0,0,4,0,3,0,1,1,1,0,0,1,1,0,0,1,0,0,0,4,0,0,0,6,1,0,0,0,2,0,0,2,0,0,0,3,1,1,0,4,0,0,0,0,2,3,0,0,0,0,1,0,0,1,0,0,1,0,1,5,0,0,0,2,1,0
accuraci,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,3,1,1,0,0,4,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,6,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0
accus,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
achiev,33,12,4,1,0,0,1,0,0,1,3,1,2,1,8,0,0,12,2,13,1,12,1,0,1,1,4,2,2,0,2,4,7,2,4,4,4,2,5,1,1,1,7,2,2,1,1,3,1,1,4,1,7,6,5,3,10,9,3,0,0,2,2,1,0,0,0,1,0,0,1,3,13,0,0,1,0,4,12,1,0,0,3,0,0,5,6,0,0,1,1,9,1,9,0,0,3,2,0
acid,0,0,4,4,0,0,0,0,0,0,0,0,13,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,24,12,3,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,1
acknowledg,2,0,1,3,0,2,0,0,0,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,4,4,0,2,5,0,0,0,0,3,0,2,10,1,1,5,0,3,0,0,0,0,0,13,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,4,1,3,1,0,5,8,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
acm,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acn,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
acoust,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
acquir,0,0,2,0,0,0,0,0,0,0,8,0,4,0,0,0,0,3,8,1,1,12,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,2,2,0,1,0,1,0,0,0,0,9,0,0,0,1,8,1,0,0,3,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,3,0,0,1,0,0,2,0,0,0,3,0,0,13,0,0,0,0,0,0
acquisit,2,0,2,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,2,0,8,0,0,0,2,0,0,0,1,5,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,47,0,0,1,0,0,0,0,0,0
acr,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acrobat,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
